Ամսաթիվ,EUR
03/01/2023,415.6100,
04/01/2023,418.9500,
05/01/2023,419.1800,
09/01/2023,421.4300,
10/01/2023,424.2100,
11/01/2023,425.5800,
12/01/2023,426.4300,
13/01/2023,429.9100,
16/01/2023,429.7700,
17/01/2023,429.5000,
18/01/2023,430.0900,
19/01/2023,429.2300,
20/01/2023,429.5400,
23/01/2023,432.4400,
24/01/2023,430.5300,
25/01/2023,430.3200,
26/01/2023,431.4600,
27/01/2023,431.2700,
30/01/2023,431.8700,
31/01/2023,428.2700,
01/02/2023,430.9600,
02/02/2023,434.9700,
03/02/2023,433.5900,
06/02/2023,426.9600,
07/02/2023,424.1100,
08/02/2023,425.3900,
09/02/2023,426.6000,
10/02/2023,423.2600,
13/02/2023,421.5700,
14/02/2023,423.7800,
15/02/2023,421.7100,
16/02/2023,421.2600,
17/02/2023,417.9600,
20/02/2023,419.3000,
21/02/2023,417.0600,
22/02/2023,414.9600,
23/02/2023,413.4100,
24/02/2023,412.2800,
27/02/2023,411.1200,
28/02/2023,413.4000,
01/03/2023,414.8800,
02/03/2023,412.8700,
03/03/2023,412.0800,
06/03/2023,412.8500,
07/03/2023,414.2100,
09/03/2023,410.5600,
10/03/2023,411.0000,
13/03/2023,414.4700,
14/03/2023,416.7800,
15/03/2023,412.7500,
16/03/2023,412.5300,
17/03/2023,412.9000,
20/03/2023,415.4800,
21/03/2023,418.2100,
22/03/2023,418.9100,
23/03/2023,422.3100,
24/03/2023,416.1700,
27/03/2023,418.3700,
28/03/2023,420.2100,
29/03/2023,421.4800,
30/03/2023,422.3900,
31/03/2023,422.2800,
03/04/2023,422.3200,
04/04/2023,423.7400,
05/04/2023,424.9800,
06/04/2023,423.2300,
07/04/2023,424.1700,
10/04/2023,423.4100,
11/04/2023,424.0500,
12/04/2023,424.1200,
13/04/2023,427.3500,
14/04/2023,429.1900,
17/04/2023,426.0000,
18/04/2023,425.6700,
19/04/2023,423.7500,
20/04/2023,424.8900,
21/04/2023,424.8200,
25/04/2023,425.6400,
26/04/2023,427.8400,
27/04/2023,426.8500,
28/04/2023,424.6900,
02/05/2023,423.9100,
03/05/2023,426.9600,
04/05/2023,428.4400,
05/05/2023,425.8300,
08/05/2023,426.9800,
10/05/2023,423.2200,
11/05/2023,422.1000,
12/05/2023,421.3500,
15/05/2023,421.1900,
16/05/2023,420.8500,
17/05/2023,418.3700,
18/05/2023,418.5300,
19/05/2023,417.1400,
22/05/2023,418.6400,
23/05/2023,416.2200,
24/05/2023,415.0400,
25/05/2023,414.3400,
26/05/2023,415.2400,
29/05/2023,413.7800,
30/05/2023,414.8900,
31/05/2023,412.7600,
01/06/2023,414.4900,
02/06/2023,416.9200,
05/06/2023,414.1200,
06/06/2023,414.1300,
07/06/2023,414.3300,
08/06/2023,415.2900,
09/06/2023,415.5700,
12/06/2023,416.1900,
13/06/2023,418.1100,
14/06/2023,417.7600,
15/06/2023,419.1300,
16/06/2023,423.3000,
19/06/2023,421.7300,
20/06/2023,423.1200,
21/06/2023,421.6500,
22/06/2023,424.9500,
23/06/2023,420.7000,
26/06/2023,421.4900,
27/06/2023,423.4500,
28/06/2023,423.3700,
29/06/2023,422.1700,
30/06/2023,418.9500,
03/07/2023,421.4200,
04/07/2023,420.9000,
06/07/2023,420.5400,
07/07/2023,420.6400,
10/07/2023,424.2900,
11/07/2023,426.0800,
12/07/2023,425.7000,
13/07/2023,432.3900,
14/07/2023,433.1000,
17/07/2023,433.6700,
18/07/2023,434.7700,
19/07/2023,434.4100,
20/07/2023,432.7600,
21/07/2023,430.0000,
24/07/2023,429.3600,
25/07/2023,427.1500,
26/07/2023,428.1300,
27/07/2023,430.2100,
28/07/2023,424.5700,
31/07/2023,426.1100,
01/08/2023,424.0300,
02/08/2023,424.6200,
03/08/2023,422.2500,
04/08/2023,422.7200,
07/08/2023,423.6200,
08/08/2023,423.2900,
09/08/2023,423.7500,
10/08/2023,425.7400,
11/08/2023,424.2900,
14/08/2023,423.0700,
15/08/2023,422.7000,
16/08/2023,421.3600,
17/08/2023,420.2100,
18/08/2023,419.4900,
21/08/2023,420.5300,
22/08/2023,420.0100,
23/08/2023,417.9400,
24/08/2023,418.9200,
25/08/2023,416.9700,
28/08/2023,417.2600,
29/08/2023,417.2700,
30/08/2023,420.3700,
31/08/2023,419.3800,
01/09/2023,418.4300,
04/09/2023,416.8100,
05/09/2023,414.3200,
06/09/2023,414.3800,
07/09/2023,412.9500,
08/09/2023,412.6900,
11/09/2023,414.3200,
12/09/2023,413.4700,
13/09/2023,414.7000,
14/09/2023,414.4500,
15/09/2023,411.6200,
18/09/2023,411.5800,
19/09/2023,413.1700,
20/09/2023,413.4700,
22/09/2023,411.8700,
25/09/2023,412.1800,
26/09/2023,410.7400,
27/09/2023,410.0400,
28/09/2023,411.9900,
29/09/2023,417.4000,
02/10/2023,423.8500,
03/10/2023,433.0900,
04/10/2023,450.7300,
05/10/2023,440.2800,
06/10/2023,432.8000,
09/10/2023,425.4400,
10/10/2023,420.9300,
11/10/2023,419.0100,
12/10/2023,422.2900,
13/10/2023,423.0000,
